"season_type","week","posteam","defteam","qtr","down","ydstogo","ydsnet","shotgun","pass_location","pass_length","air_yards","complete_pass","incomplete_pass","interception","passer","passer_player_id","passer_player_name"
"REG",1,"TEN","ARI",1,3,16,-6,1,"right","short",-1,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,4,16,-6,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,1,10,7,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,2,6,7,1,"left","short",3,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,3,3,7,1,"right","short",3,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,4,3,7,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,1,10,5,0,NA,NA,NA,0,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,2,16,5,1,"left","short",4,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,3,12,5,1,"left","short",3,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,4,4,5,0,"middle","short",4,1,0,0,"M.Farley","00-0032496","M.Farley"
"REG",1,"TEN","ARI",1,1,10,5,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,2,11,5,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,3,9,5,1,NA,NA,NA,0,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,4,17,5,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,1,10,70,1,NA,NA,NA,0,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,NA,0,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"ARI","TEN",2,2,12,70,1,"left","short",10,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,3,2,70,1,NA,NA,NA,0,0,0,"K.Murray",NA,NA
"REG",1,"ARI","TEN",2,1,10,70,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,2,7,70,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,1,10,70,1,"right","short",-1,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,2,7,70,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,1,10,70,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,1,13,70,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,2,5,70,1,"left","short",4,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,NA,0,70,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,1,10,75,0,"left","short",0,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,2,10,75,0,"left","short",9,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,1,10,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,2,8,75,1,"right","short",6,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,1,10,75,0,"right","deep",24,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,1,10,75,1,"middle","short",11,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,2,10,75,1,"middle","short",11,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,3,10,75,1,"left","short",7,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,1,1,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,2,1,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,3,1,75,0,NA,NA,NA,0,0,0,"R.Tannehill",NA,NA
"REG",1,"TEN","ARI",2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,1,10,75,1,"right","deep",22,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,2,10,75,1,"right","short",11,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,3,10,75,1,"left","deep",17,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,1,10,75,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,2,6,75,0,NA,NA,NA,0,0,0,"K.Murray",NA,NA
"REG",1,"ARI","TEN",2,1,10,75,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,2,10,75,1,"right","short",4,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,3,6,75,1,"right","deep",20,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,1,10,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,2,NA,0,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"ARI","TEN",2,2,10,75,1,"left","short",-2,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,1,8,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,2,2,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,NA,0,47,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,1,10,47,1,"middle","short",5,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,2,1,47,1,NA,NA,NA,0,0,0,"R.Tannehill",NA,NA
"REG",1,"TEN","ARI",2,1,10,47,1,"middle","short",5,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,2,1,47,1,"right","short",4,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,1,10,47,1,"left","short",4,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,NA,NA,2,NA,0,47,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",2,2,6,47,1,NA,NA,NA,0,0,0,"R.Tannehill",NA,NA
"REG",1,"TEN","ARI",2,2,1,47,1,"left","short",13,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,3,1,47,1,"right","deep",28,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",2,4,1,47,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,1,10,48,1,"left","short",-3,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,NA,NA,2,NA,0,48,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,2,NA,0,48,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",2,1,10,48,1,"left","short",14,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",2,2,10,48,1,"middle","short",0,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,NA,NA,2,NA,0,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"ARI","TEN",3,NA,0,7,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,1,10,7,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,2,6,7,1,"right","short",-6,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,3,3,7,1,"left","deep",21,0,0,1,"K.Murray","00-0035228","K.Murray"
"REG",1,"TEN","ARI",3,1,10,32,1,"left","short",14,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,1,10,32,1,"middle","short",13,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,NA,0,32,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,1,10,75,1,"left","short",-4,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,1,10,75,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,2,7,75,1,"left","short",7,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,1,10,75,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,2,3,75,0,"right","short",-1,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,NA,NA,3,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,3,3,75,1,"right","deep",26,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,NA,0,5,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,10,5,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,15,5,1,"middle","short",7,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,2,6,5,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,3,5,5,1,"middle","deep",23,0,0,1,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"ARI","TEN",3,1,10,-7,1,"left","deep",18,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,2,10,-7,1,"right","short",10,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,3,10,-7,1,NA,NA,NA,0,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,4,17,-7,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,10,23,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,10,23,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,2,6,23,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,10,23,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,15,23,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,2,7,23,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,3,8,23,1,NA,NA,NA,0,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"ARI","TEN",3,1,10,33,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,1,10,33,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,2,6,33,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,3,4,33,1,"right","short",11,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",3,NA,0,33,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,NA,0,18,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,1,10,18,1,"middle","short",10,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,2,10,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,3,6,18,1,"left","short",10,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,1,10,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,2,3,18,1,"right","short",7,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,3,3,18,1,"right","short",3,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,1,10,18,1,"middle","short",9,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,2,10,18,1,"left","short",4,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",3,3,10,18,1,"middle","short",3,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,NA,NA,3,NA,0,18,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",3,4,10,18,1,NA,NA,NA,0,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"ARI","TEN",3,1,10,18,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",3,NA,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"ARI","TEN",4,2,4,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,4,NA,0,18,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,3,3,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,1,10,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,2,7,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,3,5,18,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,4,4,18,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",4,1,10,33,1,"middle","short",4,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",4,1,10,33,1,"left","short",-3,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",4,2,2,33,1,"right","short",6,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",4,1,10,33,1,"middle","short",3,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",4,2,2,33,1,NA,NA,NA,0,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",4,3,12,33,1,"right","short",3,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",4,4,5,33,1,"right","short",9,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"ARI","TEN",4,1,10,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,2,8,25,1,"middle","short",-2,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",4,1,10,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,2,4,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,2,9,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,3,1,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,1,10,25,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,2,9,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,3,8,25,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",4,4,7,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"ARI","TEN",4,4,7,25,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,4,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"TEN","ARI",4,1,10,11,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",4,2,2,11,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",4,3,1,11,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,4,NA,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"LV","BAL",1,NA,0,32,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,1,10,32,1,"right","short",6,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,2,10,32,1,"left","short",5,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,3,1,32,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,1,10,32,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,2,11,32,1,NA,NA,NA,0,0,0,"D.Carr",NA,NA
"REG",1,"LV","BAL",1,3,9,32,1,"middle","short",7,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,1,10,32,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,1,17,32,1,"left","deep",24,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,2,17,32,1,"left","short",6,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,3,17,32,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,4,32,32,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,1,10,24,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,2,7,24,0,NA,NA,NA,0,0,0,"L.Jackson",NA,NA
"REG",1,"BAL","LV",1,1,10,24,1,"left","short",-5,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,2,8,24,1,NA,NA,NA,0,0,0,"L.Jackson",NA,NA
"REG",1,"BAL","LV",1,3,6,24,1,"left","short",7,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,1,10,24,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,1,15,24,1,"middle","short",8,0,1,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,2,15,24,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,3,13,24,1,NA,NA,NA,0,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,4,19,24,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,1,10,0,0,"right","deep",23,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,2,10,0,1,"right","deep",35,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,3,10,0,1,"middle","deep",20,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,4,10,0,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,1,10,65,1,"right","short",-2,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,2,10,65,1,"left","short",2,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,1,10,65,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,2,7,65,1,"middle","short",5,0,1,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,3,7,65,1,"right","short",6,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,4,1,65,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,NA,0,65,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,NA,0,13,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,1,10,13,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,1,10,13,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",1,2,10,13,1,"right","short",13,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,3,10,13,1,"middle","short",12,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",1,4,10,13,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",1,1,10,3,1,"right","short",-3,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",1,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"BAL","LV",2,2,4,3,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,3,7,3,1,"middle","short",6,0,1,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",2,4,7,3,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,1,10,-11,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,2,10,-11,1,"middle","short",2,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,3,4,-11,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,3,10,-11,1,NA,NA,NA,0,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,4,21,-11,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,1,10,68,1,"left","deep",19,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",2,1,10,68,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,2,14,68,1,"middle","short",4,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",2,1,10,68,1,"middle","short",14,0,1,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",2,2,10,68,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,3,6,68,1,"right","short",10,1,0,0,"L.Jackson","00-0034796","L.Jackson"
"REG",1,"BAL","LV",2,NA,0,68,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,1,10,75,1,"left","short",3,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,2,5,75,1,"left","short",2,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,1,10,75,1,"middle","short",8,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,1,10,75,1,"left","short",-3,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,2,1,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,3,1,75,1,"middle","deep",18,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,1,10,75,1,"left","short",3,0,1,0,"D.Carr","00-0031280","D.Carr"
"REG",1,"LV","BAL",2,2,10,75,1,"right","short",6,1,0,0,"D.Carr","00-0031280","D.Carr"
"REG",1,NA,NA,2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,3,2,75,1,NA,NA,NA,0,0,0,"D.Carr",NA,NA
"REG",1,"LV","BAL",2,1,2,75,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"LV","BAL",2,NA,0,75,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,NA,0,39,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,1,10,39,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"BAL","LV",2,2,9,39,1,"right","short",4,1,0,0,"L.Jackson","00-0034796","L.Jackson"
